row_id,recipe_id,cement,slag,ash,water,superplasticizer,coarse,fine,age,strength
1,1,540.0,0.0,0.0,162.0,2.5,1040.0,676.0,28,79.98611076
3,3,332.5,142.5,0.0,228.0,0.0,932.0,594.0,270,40.269535256000005
4,3,332.5,142.5,0.0,228.0,0.0,932.0,594.0,365,41.052779992
5,4,198.6,132.4,0.0,192.0,0.0,978.4,825.5,360,44.296075096
6,5,266.0,114.0,0.0,228.0,0.0,932.0,670.0,90,47.029847436000004
9,5,266.0,114.0,0.0,228.0,0.0,932.0,670.0,28,45.854290856
10,7,475.0,0.0,0.0,228.0,0.0,932.0,594.0,28,39.28978986
11,4,198.6,132.4,0.0,192.0,0.0,978.4,825.5,90,38.074243671999994
12,4,198.6,132.4,0.0,192.0,0.0,978.4,825.5,28,28.021683592
13,8,427.5,47.5,0.0,228.0,0.0,932.0,594.0,270,43.01296026
14,9,190.0,190.0,0.0,228.0,0.0,932.0,670.0,90,42.32693164
16,11,380.0,0.0,0.0,228.0,0.0,932.0,670.0,90,52.908319811999995
17,12,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,90,39.358047983999995
18,13,342.0,38.0,0.0,228.0,0.0,932.0,670.0,365,56.141962252
20,7,475.0,0.0,0.0,228.0,0.0,932.0,594.0,180,42.620648416
21,8,427.5,47.5,0.0,228.0,0.0,932.0,594.0,180,41.836714203999996
22,12,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,28,28.23748958
23,12,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,3,8.06342182
24,12,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,180,44.207822168
25,11,380.0,0.0,0.0,228.0,0.0,932.0,670.0,365,52.516697443999995
26,11,380.0,0.0,0.0,228.0,0.0,932.0,670.0,270,53.300631656
28,13,342.0,38.0,0.0,228.0,0.0,932.0,670.0,180,52.1243856
29,8,427.5,47.5,0.0,228.0,0.0,932.0,594.0,28,37.427515183999994
30,7,475.0,0.0,0.0,228.0,0.0,932.0,594.0,7,38.60376124
32,5,266.0,114.0,0.0,228.0,0.0,932.0,670.0,365,52.908319811999995
33,4,198.6,132.4,0.0,192.0,0.0,978.4,825.5,180,41.719503284
34,7,475.0,0.0,0.0,228.0,0.0,932.0,594.0,270,42.131120456
35,9,190.0,190.0,0.0,228.0,0.0,932.0,670.0,365,53.69225402399999
36,14,237.5,237.5,0.0,228.0,0.0,932.0,594.0,270,38.407950056000004
37,14,237.5,237.5,0.0,228.0,0.0,932.0,594.0,28,30.079769451999997
38,3,332.5,142.5,0.0,228.0,0.0,932.0,594.0,90,37.721921436
39,7,475.0,0.0,0.0,228.0,0.0,932.0,594.0,90,42.229026048
40,14,237.5,237.5,0.0,228.0,0.0,932.0,594.0,180,36.251958603999995
41,13,342.0,38.0,0.0,228.0,0.0,932.0,670.0,90,50.45930106
42,8,427.5,47.5,0.0,228.0,0.0,932.0,594.0,365,43.698299404
43,14,237.5,237.5,0.0,228.0,0.0,932.0,594.0,365,38.995383608
44,11,380.0,0.0,0.0,228.0,0.0,932.0,670.0,180,53.104130996
45,8,427.5,47.5,0.0,228.0,0.0,932.0,594.0,90,41.542997428
46,8,427.5,47.5,0.0,228.0,0.0,932.0,594.0,7,35.076402024
47,15,349.0,0.0,0.0,192.0,0.0,1047.0,806.9,3,15.049192651999999
49,14,237.5,237.5,0.0,228.0,0.0,932.0,594.0,7,26.258003984
51,3,332.5,142.5,0.0,228.0,0.0,932.0,594.0,180,39.779317819999996
52,9,190.0,190.0,0.0,228.0,0.0,932.0,670.0,180,46.931941843999994
53,14,237.5,237.5,0.0,228.0,0.0,932.0,594.0,90,33.116911232
55,12,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,7,14.589312159999999
56,4,198.6,132.4,0.0,192.0,0.0,978.4,825.5,7,14.638264955999999
57,7,475.0,0.0,0.0,228.0,0.0,932.0,594.0,365,41.934619796
58,4,198.6,132.4,0.0,192.0,0.0,978.4,825.5,3,9.131420144
60,3,332.5,142.5,0.0,228.0,0.0,932.0,594.0,28,33.019005639999996
62,5,266.0,114.0,0.0,228.0,0.0,932.0,670.0,270,51.732763231999996
63,16,310.0,0.0,0.0,192.0,0.0,971.0,850.6,3,9.86640156
64,9,190.0,190.0,0.0,228.0,0.0,932.0,670.0,270,50.655112243999994
65,5,266.0,114.0,0.0,228.0,0.0,932.0,670.0,180,48.695621452
66,13,342.0,38.0,0.0,228.0,0.0,932.0,670.0,270,55.064311264
67,12,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,360,44.698039603999995
68,3,332.5,142.5,0.0,228.0,0.0,932.0,594.0,7,30.275580636
69,9,190.0,190.0,0.0,228.0,0.0,932.0,670.0,28,40.856968808
70,17,485.0,0.0,0.0,146.0,0.0,1120.0,800.0,28,71.98818916
71,18,374.0,189.2,0.0,170.1,10.1,926.1,756.7,3,34.39795764
72,19,313.3,262.2,0.0,175.5,8.6,1046.9,611.8,3,28.79941252
73,20,425.0,106.3,0.0,153.5,16.5,852.1,887.1,3,33.398217439999996
74,21,425.0,106.3,0.0,151.4,18.6,936.0,803.7,3,36.3009114
75,22,375.0,93.8,0.0,126.6,23.4,852.1,992.6,3,28.99936056
76,23,475.0,118.8,0.0,181.1,8.9,852.1,781.5,3,37.79707432
77,24,469.0,117.2,0.0,137.8,32.2,852.1,840.5,3,40.1964508
